adult,cast,genre,id,original_title,overview,title,vote_average
0,RobMarshall HalleBailey JonahHauer-King DaveedDiggs,"[""Adventure"",""Family"",""Fantasy"",""Romance""]",447277,The Little Mermaid,"the youngest of king triton’s daughters, and the most defiant, ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing prince eric. with mermaids forbidden to interact with humans, ariel makes a deal with the evil sea witch, ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",the little mermaid,5.6
0,NidaManzoor PriyaKansara RituArya ShobuKapoor,"[""Action"",""Adventure"",""Comedy""]",977223,Polite Society,"martial artist-in-training ria khan believes she must save her older sister lena from her impending marriage. after enlisting the help of her friends, ria attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.",polite society,7
0,ScottBeck BryanWoods AdamDriver ArianaGreenblatt ChloeColeman,"[""SciFi"",""Adventure"",""Thriller""]",700391,65,"65 million years ago, the only 2 survivors of a spaceship from somaris that crash-landed on earth must fend off dinosaurs and reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",65,6.264
0,ElizabethBanks KeriRussell BrooklynnPrince ChristianConvery,"[""Thriller"",""Comedy"",""Crime""]",804150,Cocaine Bear,"inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",cocaine bear,6.332
0,MichaelB.Jordan MichaelB.Jordan TessaThompson JonathanMajors,"[""Drama"",""Action""]",677179,Creed III,"after dominating the boxing world, adonis creed has been thriving in both his career and family life. when a childhood friend and former boxing prodigy, damian anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. the face-off between former friends is more than just a fight. to settle the score, adonis must put his future on the line to battle damian — a fighter who has nothing to lose.",creed iii,7.28
0,JoaquimDosSantos JustinK.Thompson KempPowers ShameikMoore HaileeSteinfeld JakeJohnson,"[""Animation"",""Action"",""Adventure"",""SciFi""]",569094,Spider-Man: Across the Spider-Verse,"after reuniting with gwen stacy, miles morales — brooklyn's full-time, friendly neighborhood spider-man — is catapulted across the multiverse, where he encounters a team of spider-people charged with protecting its very existence. but when the heroes clash on how to handle a new threat, miles finds himself pitted against the other spiders and must redefine what it means to be a hero so he can save the people he loves most.",spider-man,5
0,"GeorgeTillman,Jr. KhrisDavis JasmineMathews SullivanJones","[""History"",""Drama""]",878361,Big George Foreman,"fueled by an impoverished childhood, george foreman channeled his anger into becoming an olympic gold medalist and world heavyweight champion, followed by a near-death experience that took him from the boxing ring to the pulpit. but when he sees his community struggling spiritually and financially, foreman returns to the ring and makes history by reclaiming his title, becoming the oldest and most improbable world heavyweight boxing champion ever.",big george foreman,6.7
0,StevenCapleJr. AnthonyRamos DominiqueFishback LunaLaurenVelez,"[""Action"",""Adventure"",""SciFi""]",667538,Transformers: Rise of the Beasts,"a '90s globetrotting adventure that introduces the maximals, predacons, and terrorcons to the existing battle on earth between autobots and decepticons.",transformers,5
0,M.NightShyamalan DaveBautista JonathanGroff BenAldridge,"[""Horror"",""Thriller""]",631842,Knock at the Cabin,"while vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. with limited access to the outside world, the family must decide what they believe before all is lost.",knock at the cabin,6.399
0,GuyRitchie JasonStatham AubreyPlaza JoshHartnett,"[""Action"",""Comedy"",""Adventure"",""Thriller""]",739405,Operation Fortune: Ruse de Guerre,"special agent orson fortune and his team of operatives recruit one of hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.",operation fortune,6.612
0,CharlesGuard TomGuard ColinMorgan AmlAmeen MarkStrong,"[""Action"",""Thriller""]",507250,Dead Shot,"in the 1970s, a member of the ira takes over an active service unit in london after his wife is accidentally shot dead in ireland. the unit's mission is to cause chaos and destruction, while his personal aim is to hunt down his wife’s killer — an sas captain, who is also hunting him.",dead shot,6.714
